Cluster,Gene,PCT 1,PCT 2,PCT Ratio,p value,Average Log2FC
PVT-1,Col6a1,0,0.028,0,0.000831074,-5.260754193
PVT-4,Ntsr1,0,0.089,0,6.59E-05,-5.484123824
PVT-3,Ntsr1,0.004,0.086,0.046511628,0.041248561,-3.983597468
PVT-2,Gypc,0.002,0.035,0.057142857,2.52E-08,-3.981362638
PVT-2,Col6a1,0.002,0.035,0.057142857,2.53E-08,-3.981362638
PVT-2,Krt26,0.001,0.017,0.058823529,0.015545148,-3.346359455
PVT-2,Ntrk1,0.004,0.065,0.061538462,3.75E-18,-4.063027635
PVT-2,Gm19410,0.005,0.076,0.065789474,3.48E-22,-4.07481355
PVT-3,Plpp4,0.023,0.328,0.070121951,2.18E-20,-4.517168448
PVT-2,Prss30,0.002,0.028,0.071428571,1.75E-05,-3.276818522
PVT-2,Insrr,0.007,0.097,0.072164948,3.03E-28,-4.064410189
PVT-1,Prrxl1,0.003,0.041,0.073170732,1.44E-05,-3.63201
PVT-3,Col12a1,0.045,0.578,0.077854671,1.96E-51,-5.067676893
PVT-3,Sema5b,0.042,0.531,0.079096045,1.04E-43,-4.291719763
PVT-3,St14,0.011,0.138,0.079710145,6.22E-05,-3.640268738
PVT-3,Tmem26,0.019,0.227,0.083700441,3.92E-11,-3.64713328
PVT-3,Gm3294,0.008,0.095,0.084210526,0.031020749,-3.523261621
PVT-3,Clic5,0.011,0.13,0.084615385,0.000313453,-2.718391963
PVT-2,Gm26862,0.003,0.035,0.085714286,1.46E-07,-3.303290733
PVT-2,Vgll3,0.002,0.023,0.086956522,0.001102518,-3.045492976
PVT-4,Smtn,0.011,0.122,0.090163934,3.63E-06,-3.37008858
PVT-3,Tacr3,0.019,0.192,0.098958333,3.22E-08,-3.695868946
PVT-4,St14,0.014,0.141,0.09929078,1.20E-07,-3.322931559
PVT-4,Trpm6,0.036,0.357,0.100840336,5.62E-31,-4.446540641
PVT-3,Nectin1,0.026,0.252,0.103174603,1.79E-12,-3.404048463
PVT-2,Fhl2,0.006,0.058,0.103448276,1.38E-13,-3.258896614
PVT-4,Clic5,0.014,0.133,0.105263158,8.94E-07,-3.215307065
PVT-4,Gm16267,0.008,0.076,0.105263158,0.032009373,-3.073887311
PVT-1,Gm11418,0.009,0.084,0.107142857,5.18E-13,-3.276351048
PVT-3,Pcsk1,0.015,0.138,0.108695652,0.000185773,-3.396463868
PVT-3,Cwh43,0.019,0.174,0.109195402,9.15E-07,-3.413026059
PVT-2,Gm45680,0.002,0.018,0.111111111,0.021152703,-3.05331248
PVT-2,Slc9a2,0.002,0.018,0.111111111,0.03354686,-3.091786628
PVT-3,Egflam,0.019,0.171,0.111111111,2.15E-06,-2.985765304
