Cluster,Gene,PCT 1,PCT 2,PCT Ratio,Average Log2FC,p value
PVT-1A,Gulp1,0.943,0.688,1.370639535,1.013591675,8.92E-82
PVT-1A,Mgat4c,0.713,0.896,0.795758929,-1.798935832,8.51E-80
PVT-1A,Pam,0.407,0.746,0.545576408,-1.782867464,1.47E-73
PVT-1A,Hs3st5,0.327,0.676,0.483727811,-2.020651726,1.71E-68
PVT-1A,Zfp804a,1,0.987,1.013171226,0.59398128,2.42E-67
PVT-1A,Sulf1,0.892,0.612,1.45751634,1.016197997,4.67E-65
PVT-1A,Gabra2,1,0.979,1.02145046,0.548677669,1.07E-61
PVT-1A,Dab1,0.994,0.877,1.13340935,0.707148267,1.43E-60
PVT-1A,Pbx1,1,0.996,1.004016064,0.477201315,2.77E-58
PVT-1A,Magi2,1,1,1,0.359185331,3.02E-58
PVT-1A,Rbms3,0.598,0.827,0.723095526,-1.482873715,4.74E-58
PVT-1A,Egflam,0.373,0.113,3.300884956,1.71267382,5.37E-56
PVT-1A,Trpc5,0.955,0.775,1.232258065,0.749471108,8.18E-56
PVT-1A,Fgf13,1,1,1,0.381545399,1.27E-55
PVT-1A,Slc24a3,0.854,0.954,0.895178197,-0.945707436,1.36E-55
PVT-1A,Prkg1,0.998,0.988,1.010121457,0.460979192,4.95E-55
PVT-1A,Kctd8,0.908,0.669,1.357249626,0.781596904,4.29E-54
PVT-1A,Cdh8,0.631,0.822,0.767639903,-1.557450637,6.93E-54
PVT-1A,Rtl4,0.994,0.932,1.066523605,0.636700138,1.22E-53
PVT-1A,Ryr3,0.688,0.859,0.800931315,-1.394039123,9.99E-51
PVT-1A,Sema5a,0.31,0.613,0.505709625,-1.86719095,2.58E-50
PVT-1A,Zfp385b,0.455,0.708,0.642655367,-1.62460984,6.41E-50
PVT-1A,Plcb4,0.994,0.996,0.997991968,-0.627799069,1.05E-49
PVT-1A,Pcdh7,0.676,0.837,0.807646356,-1.378453914,7.97E-49
PVT-1A,Rbms1,0.462,0.717,0.644351464,-1.42044115,9.26E-49
PVT-1A,Asic2,0.946,0.981,0.96432212,-1.462085683,2.83E-48
PVT-1A,Epha6,0.851,0.914,0.93107221,-1.121025528,5.26E-47
PVT-1A,Lhfpl3,1,1,1,0.338989219,2.05E-45
PVT-1A,Ldb2,1,0.968,1.033057851,0.471809659,6.50E-45
PVT-1A,Cdh6,0.897,0.695,1.290647482,0.754683358,2.67E-44
PVT-1A,Maob,0.905,0.729,1.241426612,0.777284251,1.93E-43
PVT-1A,Ttc28,0.959,0.825,1.162424242,0.637827935,6.11E-43
PVT-1A,Sgcz,0.751,0.877,0.856328392,-1.259740935,7.77E-43
PVT-1A,Tnr,0.998,0.987,1.011144883,0.431546294,9.08E-43
PVT-1A,Erc2,1,1,1,0.293164929,1.13E-42
PVT-1A,Hcn1,0.995,0.957,1.039707419,0.493294097,2.15E-42
PVT-1A,Tafa2,0.456,0.681,0.669603524,-1.971015481,2.52E-42
PVT-1A,Gfra1,0.515,0.241,2.136929461,1.199678612,1.39E-41
PVT-1A,Epb41l4a,0.957,0.852,1.123239437,0.605691006,1.63E-41
PVT-1A,Rmst,1,0.997,1.003009027,0.336873721,8.64E-41
PVT-1A,Tenm2,0.982,0.994,0.987927565,-0.886379955,4.70E-40
PVT-1A,Thsd7b,0.917,0.942,0.973460722,-1.2129984,8.10E-40
PVT-1A,March1,0.998,0.992,1.006048387,0.346608489,9.96E-40
PVT-1A,Mast4,1,1,1,0.289435572,1.25E-39
PVT-1A,Calb2,0.897,0.679,1.321060383,0.674839105,1.37E-39
PVT-1A,Slc30a3,0.461,0.201,2.293532338,1.216738488,1.94E-39
PVT-1A,Chn2,0.96,0.876,1.095890411,0.597795407,3.00E-38
PVT-1A,Negr1,1,0.998,1.002004008,0.371747126,3.84E-38
PVT-1A,Tmeff2,0.533,0.736,0.724184783,-1.517353457,5.78E-38
PVT-1A,Edil3,0.879,0.947,0.928194298,-0.732541302,2.24E-37
PVT-1A,Sorcs2,0.808,0.921,0.877307275,-0.74715973,3.38E-37
PVT-1A,Syt1,1,1,1,-0.607678283,2.23E-36
PVT-1A,Cadm2,0.997,0.997,1,-0.696247369,3.78E-36
PVT-1A,Cacna1e,0.982,0.837,1.173237754,0.489111263,1.80E-35
PVT-1A,Pcdh9,1,0.998,1.002004008,-0.680014017,6.19E-35
PVT-1A,Crb1,0.82,0.631,1.299524564,0.765208615,6.97E-35
PVT-1A,Utrn,0.395,0.644,0.613354037,-1.274170857,2.05E-34
PVT-1A,Ppfibp1,0.711,0.458,1.552401747,0.838287222,4.07E-34
PVT-1A,Ano4,0.406,0.64,0.634375,-1.380330937,6.84E-34
PVT-1A,Grid2,1,0.995,1.005025126,0.379595178,1.13E-33
PVT-1A,Rnf220,1,1,1,0.265584927,1.73E-33
PVT-1A,Dpp6,1,1,1,-0.39301914,3.33E-33
PVT-1A,Ptprt,0.959,0.777,1.234234234,0.12485462,4.02E-32
PVT-1A,Tln2,0.998,0.991,1.007063572,0.354454519,1.19E-31
PVT-1A,Cadps,1,1,1,0.24533641,1.21E-31
PVT-1A,Galnt18,0.616,0.786,0.783715013,-1.145270264,1.29E-31
PVT-1A,Hoga1,0.346,0.142,2.436619718,1.430576001,3.12E-31
PVT-1A,Ripor2,0.989,0.961,1.029136316,0.426302634,3.27E-31
PVT-1A,Trpm6,0.129,0.368,0.350543478,-2.291992134,4.90E-31
PVT-1A,Kcnq5,1,0.977,1.023541453,0.35993902,5.20E-31
PVT-1A,Egfem1,1,0.996,1.004016064,0.317605006,8.49E-31
PVT-1A,Nrxn3,0.926,0.954,0.970649895,-0.955709105,9.38E-31
PVT-1A,Fstl4,0.177,0.417,0.424460432,-2.164102255,1.33E-30
PVT-1A,Chrm3,0.513,0.72,0.7125,-1.29622807,5.40E-30
PVT-1A,Ncam1,1,0.999,1.001001001,0.271634395,5.68E-30
PVT-1A,Pcdh15,0.621,0.782,0.794117647,-1.348759682,7.63E-30
PVT-1A,Dapk1,0.513,0.722,0.710526316,-0.981997948,1.68E-29
PVT-1A,Mctp2,0.126,0.359,0.35097493,-2.3137514,2.53E-29
PVT-1A,Cntnap3,0.975,0.876,1.113013699,0.486706147,3.43E-29
PVT-1A,Ctnna2,1,1,1,0.24734358,6.99E-29
PVT-1A,Slc24a2,0.819,0.888,0.922297297,-0.863770602,7.53E-28
PVT-1A,Mtnr1a,0.409,0.193,2.119170984,1.085660887,9.92E-28
PVT-1A,Slit3,0.986,0.905,1.089502762,0.472244429,1.69E-27
PVT-1A,Opcml,0.978,0.988,0.989878543,-0.722166639,1.74E-27
PVT-1A,Chst9,0.843,0.674,1.25074184,0.694192485,1.98E-27
PVT-1A,Mef2c,0.966,0.908,1.063876652,0.483580272,3.17E-27
PVT-1A,Prkce,1,0.996,1.004016064,0.308727496,3.20E-27
PVT-1A,Cttnbp2,1,0.999,1.001001001,0.277791511,3.59E-27
PVT-1A,Cntn4,1,0.999,1.001001001,0.270967005,5.05E-27
PVT-1A,Tanc1,0.677,0.811,0.834771887,-0.821531277,9.05E-27
PVT-1A,Unc5c,1,1,1,0.261639386,1.76E-26
PVT-1A,Lpar1,0.398,0.19,2.094736842,1.057810323,3.26E-26
PVT-1A,Pex5l,0.704,0.823,0.855407047,-1.079577834,6.09E-26
PVT-1A,Esr1,0.382,0.177,2.15819209,1.119769102,6.59E-26
PVT-1A,Col12a1,0.369,0.577,0.639514731,-1.323978215,2.18E-25
PVT-1A,Calb1,0.432,0.651,0.66359447,-0.974599229,2.92E-25
PVT-1A,Grip1,0.985,0.991,0.99394551,-0.560383386,6.60E-25
PVT-1A,Atp2b2,0.796,0.866,0.919168591,-0.770295412,1.77E-24
PVT-1A,Rap1gap2,0.952,0.868,1.096774194,0.473726988,2.08E-24
PVT-1A,Clvs1,0.75,0.878,0.854214123,-0.668480248,2.13E-24
PVT-1A,Mboat1,0.464,0.251,1.848605578,0.947164021,2.15E-24
PVT-1A,Adgrb3,1,1,1,0.236314179,3.36E-24
PVT-1A,Epha7,0.645,0.78,0.826923077,-1.002225258,3.51E-24
PVT-1A,Sfmbt2,0.78,0.597,1.306532663,0.657561534,5.99E-24
PVT-1A,Setbp1,0.997,0.995,1.00201005,0.315610817,7.69E-24
PVT-1A,Ntm,1,1,1,-0.41059595,7.92E-24
PVT-1A,Nptxr,0.982,0.901,1.089900111,0.388216425,1.37E-23
PVT-1A,Ccdc148,0.912,0.816,1.117647059,0.437578929,1.40E-23
PVT-1A,Oprk1,0.608,0.393,1.547073791,0.819583613,2.10E-23
PVT-1A,Atg7,0.839,0.704,1.191761364,0.613263197,3.15E-23
PVT-1A,Dlgap2,0.963,0.823,1.170109356,0.342151928,4.07E-23
PVT-1A,Shisa9,1,0.995,1.005025126,0.261083655,1.30E-22
PVT-1A,Fgd4,0.951,0.905,1.050828729,0.410610276,1.44E-22
PVT-1A,Cntnap4,0.879,0.728,1.207417582,0.51187262,2.56E-22
PVT-1A,Zfpm2,0.733,0.544,1.347426471,0.582309139,8.62E-22
PVT-1A,Cfap61,0.419,0.222,1.887387387,0.944618009,2.82E-21
PVT-1A,Kcnab1,0.925,0.908,1.018722467,-0.684415213,3.49E-21
PVT-1A,Cnr1,0.564,0.344,1.639534884,0.800163533,3.51E-21
PVT-1A,Ccser1,1,1,1,-0.310746696,5.70E-21
PVT-1A,BC028471,0.296,0.131,2.259541985,1.166365645,9.16E-21
PVT-1A,Gckr,0.355,0.176,2.017045455,1.110821676,1.10E-20
PVT-1A,Adra1b,0.352,0.552,0.637681159,-1.083621206,1.20E-20
PVT-1A,Gria1,0.955,0.982,0.972505092,-0.461457518,1.94E-20
PVT-1A,Sntb1,0.948,0.847,1.119244392,0.402543566,1.96E-20
PVT-1A,Epha3,0.962,0.871,1.104477612,0.413307813,2.58E-20
PVT-1A,Unc13c,0.413,0.234,1.764957265,1.310944642,3.06E-20
PVT-1A,Fbln1,0.594,0.394,1.507614213,0.795364861,3.54E-20
PVT-1A,Rgs7bp,0.972,0.977,0.994882293,-0.486301343,4.79E-20
PVT-1A,Ppm1l,0.995,0.978,1.017382413,0.310380277,7.30E-20
PVT-1A,Grik4,0.876,0.773,1.133247089,0.50376474,7.67E-20
PVT-1A,Mir99ahg,0.998,0.998,1,0.259007987,9.10E-20
PVT-1A,Kcnd2,1,1,1,0.174751888,9.31E-20
PVT-1A,Grik1,0.986,0.904,1.090707965,0.352363457,1.63E-19
PVT-1A,Tmem132c,0.753,0.865,0.870520231,-0.666330487,2.66E-19
PVT-1A,Galr1,0.379,0.197,1.923857868,0.999413413,3.29E-19
PVT-1A,Drd2,0.399,0.22,1.813636364,1.009451462,4.98E-19
PVT-1A,Vwa5b1,0.469,0.273,1.717948718,0.88646468,7.75E-19
PVT-1A,Tenm1,1,0.997,1.003009027,0.238127352,7.85E-19
PVT-1A,Fign,0.395,0.609,0.648604269,-0.720778435,1.07E-18
PVT-1A,Rbfox3,0.865,0.932,0.928111588,-0.511153372,1.32E-18
PVT-1A,Scai,0.991,0.964,1.028008299,0.362839159,1.72E-18
PVT-1A,Kcng2,0.152,0.047,3.234042553,1.716831716,1.89E-18
PVT-1A,Snx31,0.644,0.44,1.463636364,0.672848488,2.00E-18
PVT-1A,Pdzd2,0.075,0.244,0.307377049,-2.353790511,2.91E-18
PVT-1A,Tenm4,1,0.999,1.001001001,0.212763952,3.34E-18
PVT-1A,Synpr,0.502,0.312,1.608974359,0.83566138,9.55E-18
PVT-1A,Cadm1,1,0.998,1.002004008,0.251109388,9.80E-18
PVT-1A,Rnf152,0.174,0.355,0.490140845,-1.538040897,2.05E-17
PVT-1A,Atrnl1,0.989,0.973,1.016443988,0.306407837,2.45E-17
PVT-1A,Slit2,0.098,0.26,0.376923077,-3.223544784,2.45E-17
PVT-1A,Cfap74,0.702,0.525,1.337142857,0.618324515,2.56E-17
PVT-1A,Syt17,0.917,0.813,1.127921279,0.412217211,3.53E-17
PVT-1A,Plch2,0.476,0.289,1.647058824,0.824285843,4.80E-17
PVT-1A,Plod2,0.278,0.129,2.15503876,1.111924989,5.97E-17
PVT-1A,Gpr156,0.401,0.223,1.798206278,0.872694227,6.46E-17
PVT-1A,Tenm3,0.969,0.982,0.986761711,-0.56404236,7.70E-17
PVT-1A,Tmcc3,0.997,0.963,1.035306334,0.286623963,7.85E-17
PVT-1A,Gsg1l,0.146,0.319,0.457680251,-1.731675635,1.12E-16
